Frequencia (Hz),Amplitude (dB)
2008.26,142.89
825.95,142.87
183.19,142.84
1972.9,142.81
965.22,142.8
549.95,142.79
368.03,142.79
238.7,142.78
5987.37,142.78
259.35,142.77
992.2,142.77
1969.59,142.77
2003.48,142.77
372.22,142.77
733.34,142.74
376.7,142.72
839.59,142.72
2005.43,142.72
918.47,142.7
827.81,142.69
240.65,142.68
1947.78,142.67
1966.57,142.65
237.63,142.65
991.61,142.65
840.76,142.63
918.86,142.62
2016.53,142.62
5987.17,142.62
1949.43,142.61
1979.04,142.6
948.18,142.57
3991.19,142.53
1954.01,142.53
1285.34,142.52
3991.09,142.52
5987.66,142.51
2018.48,142.51
963.76,142.51
1966.18,142.5
736.16,142.5
963.57,142.49
7983.84,142.49
857.61,142.48
3991.97,142.47
59.89,142.46
1967.84,142.46
1020.34,142.46
681.04,142.44
1987.61,142.44
1974.07,142.43
357.51,142.41
372.12,142.41
2012.73,142.41
313.2,142.41
839.78,142.41
194.0,142.41
321.29,142.4
120.47,142.39
2016.63,142.38
236.46,142.37
557.26,142.36
734.7,142.36
234.9,142.35
1949.63,142.34
1199.83,142.31
242.5,142.31
837.54,142.31
1080.04,142.29
837.64,142.27
237.92,142.26
188.64,142.26
917.6,142.26
188.16,142.25
918.77,142.23
736.55,142.23
257.89,142.23
552.0,142.23
1000.57,142.2
554.14,142.2
1948.17,142.2
1985.86,142.2
1975.05,142.19
754.28,142.19
968.43,142.18
374.27,142.17
1972.71,142.16
1953.81,142.13
241.23,142.12
962.59,142.12
1283.78,142.11
599.14,142.1
1951.09,142.1
2022.08,142.1
2009.13,142.1
917.21,142.09
377.19,142.09
234.03,142.08
245.52,142.08
946.91,142.08
755.45,142.07
1975.73,142.07
965.81,142.07
1959.66,142.05
1010.31,142.04
377.28,142.02
231.59,142.02
1011.38,142.02
1966.96,142.01
948.57,142.01
1947.68,142.01
917.69,142.01
1947.87,142.0
554.05,141.98
59.31,141.98
1955.57,141.98
691.85,141.97
919.35,141.97
1976.31,141.97
285.74,141.95
1965.7,141.95
850.59,141.94
1947.97,141.92
373.97,141.92
1001.84,141.92
849.04,141.91
551.61,141.89
361.22,141.89
1982.06,141.89
826.15,141.89
733.44,141.89
250.58,141.88
369.1,141.88
194.19,141.85
360.92,141.84
1953.33,141.83
378.26,141.83
2005.92,141.83
1966.38,141.83
321.19,141.82
2020.72,141.81
949.15,141.81
137.61,141.8
238.31,141.8
1285.24,141.8
258.66,141.79
1002.03,141.79
2018.58,141.79
238.21,141.78
2020.43,141.78
479.93,141.76
734.9,141.75
1888.86,141.74
719.61,141.74
1957.81,141.72
5987.95,141.71
754.08,141.71
2007.48,141.71
839.88,141.71
1945.73,141.69
825.47,141.69
986.94,141.67
1940.18,141.66
552.29,141.65
1946.02,141.64
245.32,141.63
1887.01,141.62
1939.99,141.61
738.6,141.61
2022.77,141.61
211.63,141.61
900.26,141.6
843.1,141.59
1967.55,141.59
368.42,141.58
2012.83,141.58
999.99,141.57
1943.1,141.56
755.83,141.55
753.89,141.55
1001.94,141.55
2009.03,141.54
552.97,141.54
320.8,141.54
910.88,141.54
3992.26,141.52
992.1,141.52
1920.51,141.51
243.08,141.5
1964.14,141.5
1285.63,141.5
952.37,141.5
967.17,141.5
555.7,141.48
748.34,141.48
1922.26,141.47
1924.21,141.47
233.44,141.47
948.76,141.46
119.79,141.45
2022.47,141.43
2007.87,141.42
558.82,141.42
320.9,141.41
1955.86,141.41
2012.64,141.4
1020.54,141.39
376.41,141.37
843.19,141.37
212.11,141.37
918.38,141.36
5988.24,141.36
1002.13,141.35
674.13,141.34
1953.72,141.34
736.45,141.34
1020.44,141.34
287.1,141.34
2001.63,141.32
239.28,141.31
948.08,141.3
1961.7,141.29
1966.09,141.29
1993.45,141.28
368.32,141.27
360.14,141.27
320.99,141.27
821.28,141.27
1978.16,141.27
187.67,141.27
948.28,141.27
2006.6,141.25
261.0,141.25
561.54,141.24
2020.53,141.24
890.33,141.24
1973.88,141.23
1970.66,141.22
359.56,141.22
3993.14,141.22
1986.54,141.22
1199.93,141.21
968.53,141.21
58.63,141.21
755.74,141.2
235.78,141.19
264.22,141.19
1984.1,141.18
369.59,141.17
1012.65,141.17
1985.95,141.16
759.15,141.15
1986.15,141.14
964.83,141.14
2007.38,141.13
2004.65,141.12
2022.67,141.11
222.34,141.1
735.87,141.09
994.73,141.09
1951.87,141.07
825.37,141.07
947.01,141.07
948.66,141.06
246.1,141.05
1920.31,141.05
557.16,141.04
992.29,141.04
1010.21,141.04
1005.83,141.03
739.28,141.03
2026.37,141.02
753.79,141.02
1285.92,141.01
5987.76,141.0
825.86,141.0
1339.1,141.0
960.55,140.99
1948.36,140.99
720.19,140.99
2003.68,140.99
7982.18,140.99
552.68,140.99
1928.1,140.99
245.03,140.98
1955.28,140.98
552.58,140.97
1970.96,140.96
920.32,140.93
736.94,140.93
257.3,140.93
1934.04,140.92
248.83,140.92
2007.67,140.91
7984.52,140.91
1946.12,140.9
748.43,140.89
744.93,140.88
1284.85,140.88
1283.68,140.88
1957.22,140.87
1037.19,140.87
368.91,140.86
